job_title,company_name,exprice,job_description
Presales,TeamLease,0-0 Yrs, Job Description: Willing to familiarise yourself with the company's vision and mission...
Associate Producer,Pearson,2-6 Yrs,Formal education or equivalent . Strong academic grounding Bachelor s degree or equival...
Freelance Teacher,Vedantu Innovations,4-9 Yrs,Role & responsibilities Role Type - Freelancer (Hourly Pay)Mode of Teaching : Online th...
GCP Data Engineer,Fractal Analytics,1-6 Yrs,We are looking for candidates with 1+ years of relevant experience in GCP+RTS (Real-tim...
Amazon BLR is hiring For Registration & Compliance Operations,Amazon,0-5 Yrs,Please note that this role requires you to work from home and you need to mandatory be ...
Amazon BLR is hiring For SEPO Team ( Work From Home ),Amazon,0-5 Yrs,. _____________________________________________________________________________________...
Tele-Sales Associates (Ladies only) - Work from Home,Jio,1-3 Yrs,Eligibility Ladies onlyMust Have a Smart Phone with stable internet Only candidates who...
Executive -Installer,Randstad,0-1 Yrs,May be required by the supervisor to give training / coaching to trainees and helpersKe...
Sales Executive,Lifecell,0-5 Yrs,Ensure effective and efficient meetings with the assigned gynaecologists / obstetrician...
Openings For Analytical Developer - ERP Services,IT Sector,6-10 Yrs,Role & responsibilities As a key role within ERP Services team under the EAUS organiza...
Openings For Sr Manager - ERP Services,IT Sector,12-18 Yrs,Role & responsibilities As a key role within ERP Services team under the EAUS organiza...
Openings For Senior Developer - Oracle EBS,IT Sector,7-12 Yrs,Bachelors Degree with 9+ years of relevant experienceHands on development experience wi...
"Senior Analyst, Business Process Management (I6)",Dell Technologies,5-7 Yrs,"Bachelors degree in Computer Science or related technical discipline, or equivalent exp..."
Amazon HYD is hiring For KYC team,Amazon,0-5 Yrs,Please note that you are requested to read the JD till the end and take up assessments ...
Educator Internship Program: (WFH) CAT & Other Management Exams,Unacademy,Not specified,Not specified
Educator Internship Program: (WFH) UPSC Exams,Unacademy,Not specified,Not specified
Educator Internship Program: (WFH) Judiciary Exams,Unacademy,Not specified,Not specified
Educator Internship Program: (WFH) NEET Exams,Unacademy,Not specified,Not specified
Cognizant Hiring freshers - Hyderabad,Cognizant,Not specified,Not specified
F&B Associate,Sodexo,0-1 Yrs,"May also be required to work in the kitchen preparing food, stocking and cleaning. ."
Associate,Abbott,0-4 Yrs, Conduct market research and feasibility studies to analyze the viability of alterna...
"Selling Partner Support, Work from Home, Karnataka (AUSG)",Amazon,0-5 Yrs, The Seller Support Associate acts as the primary interface between Amazon and our busi...
"Selling Partner Support, Work from Home, Karnataka (NA)",Amazon,0-5 Yrs,Shifts: The job involves working in a 24 / 7 environment including night shifts and the...
Customer Support Executive,AstroTalk,0-1 Yrs,Proficiency in CRM software and multitasking abilityPrevious experience in customer sup...
Only For Mumbai Candidates - Hiring For 3rd Party U.S. Collections WFH,Explore 360 Hr Solutions,1-3 Yrs,"Developing payment plans, locating debtors (US Customers) in order to begin the recover..."
Only For Mumbai Location - Hiring For 3rd U.S. Party Collections WFH,Explore 360 Hr Solutions,1-3 Yrs,"Developing payment plans, locating debtors (US Customers) in order to begin the recover..."
Amex Credit Card Collections U.S Voice | WFH | Only Mumbai location,Explore 360 Hr Solutions,1-3 Yrs,"Developing payment plans, locating debtors (US Customers) in order to begin the recover..."
International BPO | U.S Collections | For Mumbai Location ONLY,Explore 360 Hr Solutions,1-3 Yrs,"US Collections Process. Developing payment plans, locating debtors (US Customers) in or..."
BPO hiring For U.S Collections - Mumbai Location Candidates only,Explore360 HR Solutions,1-3 Yrs,FOR MUMBAI LOCATION CANDIDATES ONLY Minimum 1 year of International BPO U.S - Sales / C...
International Collections | Mumbai Location Candidates only,Explore 360 Hr Solutions,1-3 Yrs,"3rd Party US Collections Developing payment plans, locating debtors (US Customers) in o..."
Sales Executive,Lifecell,0-4 Yrs,"Specify required role expertise, previous job experience, or relevant certifications"
Transportation Representative,Amazon,0-2 Yrs,Note: This is a permanent home based contractual role with rotational shift. OverviewTh...
Ad Operations( Campaign Manager),Regalix,1-5 Yrs,Location: Bangalore ( Work From Home Until further Notice ) . Shift Timing: US Shift ( ...
Senior System Administrator - Device Manipulator,Lionbridge,3-7 Yrs,Preferred candidate profile Well versed with Network Hardware & SoftwareShould be well ...
Senior Software Engineer,Deltek Replicon,5-10 Yrs, Position OverviewThe Deltek Replicon Engineering and Technology team builds best-in-cl...
Job Opportunity For Elasticsearch Architect with Hexaware!!,Hexaware Technologies,9-14 Yrs,Role & responsibilities Job Description: Elasticsearch Architect We are seeking a high...
Front End Developer,WebMaazix,2-7 Yrs,"2-3+ years Remote Budget- 60K-95K Proficient in JS, jQuery, HTML, and SASS"
Project Lead - Simulation Engineer,Creative Synergies,12-16 Yrs,"Knowledge of Geo, Re-Spot Fixtures, Grippers for Body Shop Application . Onsite / Pract..."
HCL!!! SAP Trainee - Remote,HCLTech,1-3 Yrs,Roles and Responsibilities . Bill Of Material Review & Analysis . Review technical accu...
Territory Sales Officer,JSW Cement,6-8 Yrs,Full time Graduation is compulsoryPreferred Candidates . Channel sales experience of Co...
Techno - Functional ERP Consultant - Microsoft Dynamics 365 Business,i95dev(A brand of JIVA InfoTech),8-10 Yrs,"Bachelors degreeProven experience as a Techno-Functional ERP Consultant, specifically w..."
Business Development Executive,Dhameliya Infotech,1-4 Yrs,"Bachelors degree in Business, Marketing, Communications, or a related field Proficiency..."
Motion Graphic Designer||4-6 yr||Remote||Offrole||Immediate joiner,Teamlease Services Limited,4-6 Yrs,The ability to partner with other creative team members and key stakeholders to create ...
Graphic Designer||1-5 yrs||Remote||Offrole||Immediate Joiner,Teamlease Services Limited,1-5 Yrs,"Educational Background: I deally a graduate in Multimedia, BMM, Arts, or a related fiel..."
High jump WMS Developer,True North Infotech India,8-13 Yrs,High jump WMS Knowledge of MS OfficeSoftware development cycle
Required Lead Motion Designer Off Role,Teamlease Services Limited,4-6 Yrs,"Traits - A Strong Background in Animation, Motion Design Strong technical skills and pr..."
Required Graphic Designer & Sr. Designer OFF Role,Teamlease Services Limited,1-5 Yrs,". Educational Background: Ideally a graduate in Multimedia, BMM, Arts, or a related fie..."
Software Engineer - Dot Net Angular| Remote,Altisource,2-4 Yrs,"We believe that diversity in gender, age, religion, ethnicity, sexual orientation, iden..."
Opportunity For Editor/Reviewer_English_Work from Home,Client Associates,1-6 Yrs, Join our team as an Editor/Reviewer for our prestigious MNC client! Responsibilities: ...
Qa Automation Testing Engineer,True North Infotech India,8-12 Yrs,As a test engineer who will be responsible for implementing of tests that prove the fun...
Field Marketing Executive,Teamlease Services Limited,1-3 Yrs,Candidates should have experience in Field marketing . experience in B2B or B2C Sales ....
API Developer Senior Associate,PwC Service Delivery Center,6-9 Yrs,"Responsibilities, Skills, and Experience"
Sr Application Packaging Engineer,Mphasis,5-10 Yrs,Demonstrates ability to organize and coordinate activities associated with all aspects ...
HCL!!! SAP TDD - Remote,HCLTech,1-4 Yrs,"Required Skill set . Exp : Less than 5years(TDD)-REX (SAP Basis, SAP HANA and S / 4 HAN..."
Regional Medical Advisor,Dr Reddys,0-4 Yrs,Primary scientific face of the organization to Thought Leaders & physicians for a given...
Customer Care Executive,Teleperformance (TP),0-5 Yrs,Rotational shifts and offsWorking hours- 24*7. Job location - work from home. Good comm...
Mathematics | Subject Matter Expert | WFH,Endeavor Academy,0-1 Yrs,Location : Work from Home Other Maths (Advanced Math / Algebra/Calculus / Geometry/Trig...
Physics | Subject Matter Expert | WFH,Endeavor Academy,0-1 Yrs,Location : Work from Home Physics - M.sc (Physics)/BTech (65 INR / Solution). All Solut...
Operations Management | Subject Matter Expert | WFH,Endeavor Academy,0-1 Yrs,Location : Work from HomeAll Solutions must be typed on the portal with proper tool usa...
Civil Engineering | Subject Matter Expert | WFH |,Endeavor Academy,0-1 Yrs,Location : Work from HomeAll Solutions must be typed on the portal with proper tool usa...
Chemistry | Subject Matter Expert | WFH,Endeavor Academy,0-1 Yrs,Location : Work from Home Chemistry - M.sc in Chemistry (60 INR / Solution) All Solutio...
Noetix Admin,Service based Firm,3-8 Yrs,Re-generation of views when required
Territory Sales Manager Pune,Airtel,3-8 Yrs,"Full Time graduate, preferably MBA/ PGDM Strengthen the distribution and sales network ..."
"Pre-Sales SME(SAP) @Nttdata, Remote",NTT DATA BUSINESS SOLUTIONS,6-10 Yrs,"Skills Required: . Has experience in working in support and migration of SAP systems, i..."
ETL Architect,IGT Solutions,3-7 Yrs,We are looking for ETL Architect || Immediate JoinerRemote work- 5 Working DaysDuration...
"Selling Partner Support, Work from Home, Maharashtra (NA)",Amazon,0-5 Yrs,Shifts: The job involves working in a 24 / 7 environment including night shifts and the...
Senior Accountant,Datamatics Business Solutions,3-7 Yrs,Qualification & Skills: - . B.com/ BAF / M.com/ MBA/ CA inter can apply. . Good Communi...
TSM Prepaid Thane zone,Airtel,1-6 Yrs,"Full Time graduate, preferably MBA/ PGDM Strengthen the distribution and sales network ..."
Senior .net Engineer Lead,IKS HEALTH,3-8 Yrs,Preferred candidate profile Exposure and experience in agile development preferred Hand...
Pardot Developer,eClerx,3-8 Yrs,"Know-how of marketing automation platforms like pardot, IBM, Oracle, Marketo. * Notice ..."
Cloud - Senior Software Engineer,Eze Software Group,4-7 Yrs,Bachelor s Degree in Computer Science or related discipline . 7+ years of enterprise so...
Excellent Opportunity For Interns,Datamatics Business Solutions,0-0 Yrs,Fresher can apply. Any graduate. email resume on - dipika_jadhav@datamaticsbpm.com
SE / SSE - Application Support| Permanent Remote,Altisource,3-7 Yrs,Work as a team player to contribute to the overall operational success of the team by b...
Clinical Documentation Specialist,Quikr,5-10 Yrs,Clinical expertise in area of responsibility and management of patients in that area: c...
Lead AWS Data Engineer,Streetmark Info Solutions,9-14 Yrs,Experience with Terraform script for AWS infra-automation. Knowledge of data extraction...
HCL!!!Project Manager -Remote,HCLTech,10-15 Yrs,Good understanding & hands-on experience required in S / 4 HANA Application & HANA data...
HCL!!! CAA (Cloud architect Advisory) - Remote,HCLTech,5-8 Yrs,"Experience 5+ years (CAA Role)- REX ( SAP Basis, SAP HANA and S / 4 HANA skills, Migrat..."
Hiring- BA/QA with USLife Insurance- 6 To 10 Years - Top MNC Companies,AGS,6-10 Yrs,Location: PAN India. Notice Period: 0 to 90 Days. Mode of Interview: MS Teams. Mode of ...
Hiring - VBA Developer - 1 To 4 Years - Top MNC Companies,AGS,1-4 Yrs,Location: Bangalore. Notice Period: 0 to 60 Days. Mode of Interview: MS Teams. Mode of ...
Hiring - R2R - 2 To 5 Years - Top MNC Companies,AGS,2-5 Yrs,Location: PAN India. Notice Period: 0 to 60 Days. Mode of Interview: MS Teams. Mode of ...
Bio Statistician,Dr Reddys,7-12 Yrs, Job DescriptionProviding statistical inputs for outsourced and in-source studies condu...
Data Engineer,True North Infotech India,4-8 Yrs,Python skill requiredReact.js / Node.js would be helpful but not required
React Native Developer,Maverick Infotech,5-10 Yrs,"React Native DeveloperHands-on experience in Redux, , HTML5, CSS3, Typescript, JavaScri..."
React JS Developer,Maverick Infotech,5-10 Yrs,"• Strong understanding of HTML, CSS, and JavaScript. • Experience with React concepts s..."
Azure Data Engineer,Tech Mahindra,4-8 Yrs," Azure Data EngineerMust Have Skills : Azure Data Factory (ADF) , DatabricksLocation: H..."
Sap Abap S4 Hana Consultant,Tech Mahindra,4-9 Yrs,Location: First Preferred for ChennaiExperience range: 5-10 yrs. Primary skills: Core A...
Database Developer,True North Infotech India,6-9 Yrs,Python skill requiredReact.js / Node.js would be helpful but not required
Customer Engagement Manager,Sabre,5-10 Yrs,"Experience in hypothesis driven outcomes, using data and research to help inform and dr..."
"Key Accounts Manager, Medical Representative, Field Work",Cipla,3-5 Yrs,"Specify required role expertise, previous job experience, or relevant certifications"
Solutions Architect- Java & Azure,Capgemini,9-12 Yrs,Any Kubernetes or Azure Certifications preferred Work Location: Bangalore/ HYD/ Pune/ ...
Full Stack Developer- Java & Kubernetes,Capgemini,5-9 Yrs,"Bachelors degree in Computer Science, Software Engineering, or a related fieldMasters d..."
Weblogic Admin with Scripting (Night Shift),Oracle,4-9 Yrs,"NOTE: This position requires you to work in a rotational shift model, which involves We..."
SSIS Developer,Tech Pundits Info Systems Llp,7-12 Yrs,"Help write and optimize in-application SQL statements, ensure performance, security, an..."
Power Apps Developer - Manager,PwC Service Delivery Center,10-14 Yrs,"10+/ 13+ years of relevant experience with bachelor s degree in Computer Science, Engin..."
Business Systems Analyst ( Service Now),Thermo Fisher Scientific,4-6 Yrs,Willing to work in 1 PM to 10 PM shift Qualifications: . Bachelors degree in Human Reso...
Sap End User Fico / MM / SD / HCM / PP / QM,Zoferty Infotech,1-6 Yrs,Required SAP FICO / MM / SD / PP / HR / QM / PS / PM 1. SAP Finance (FI) End User:Posit...
Senior Workday Consultant,Hitachi,4-9 Yrs,Overall experience 4 to 6 Years.4+ years of overall experience in Workday Integration I...
ServiceNow Solution Architect Role - MNC - Direct Payroll,Allegis Group,10-20 Yrs,Must have at least 3-4 Project on ITSM Service Implementations experienceAll resources ...
Regarding Job opportunity with PwC SDC For Hybrid QA MAE-Sr Associate,Pricewaterhouse Coopers Service Delivery Center Kolkata,6-9 Yrs,We are looking for candidates who has well versed experience in QA- Manual with Python ...
.Net Developers,Tech Mahindra,4-9 Yrs,Should have authored RESTful services using ASP.NET WebAPI and must possess in depth kn...
Associate Principal Engineer (Big Data),Nagarro,9-11 Yrs,"Hands-on experience in Big Data technologies such as Python, SQL, Spark, Snowflake / Re..."
Cloud Architect,Tech Mahindra,7-12 Yrs, Design and implement advanced functions of Office 365 and/or Azure AD Premium includin...
Database Architect,Tech Mahindra,7-12 Yrs, Act as a trusted advisor for our clients by designing and building analytics cloud sol...
Sales Executive - TT,Mondelez,2-6 Yrs,Ensure a maximum visual impact and an optimum shelf availability through merchandising ...
Customer Experience Specialist (Mutual Fund),Times Internet,1-3 Yrs,You must be NISM certified You must have effective written and oral communication skil...
Site Engineer,Endurance Heights Pvt Ltd,2-7 Yrs,Food and Bachelor accommodation to be provided free at sitePreferred candidate profile ...
"Opening For ""Business Executive"" For OTC division Location: Agra",Lupin,2-4 Yrs,"Key responsibilities:To meet the assigned customers (Retailers, Stockists etc.) in the ..."
Microfocus Cobol,Randstad,6-8 Yrs,Mode of work- Work from Home / hybrid . Must have Skills : Micro Focus COBOL . Good to ...
Pardot Developer,eClerx,3-6 Yrs,*Basic Qualifications:--Should have approximately 4+years of overall work experience-Ma...
Dot Net Full Stack Developer,Hitachi Ltd.,4-6 Yrs,Hitachi Ltd. is looking for .Net Full Stack Developer to join our dynamic team and emba...
Dot Net Full Stack Developer,Hitachi Ltd.,7-9 Yrs,Hitachi Ltd. is looking for .Net Full Stack Developer to join our dynamic team and emba...
SE-TT Professionals,Mondelez,3-7 Yrs,Ensure a maximum visual impact and an optimum shelf availability through merchandising ...
Field Service Engineer,Philips,2-5 Yrs,"BE- Any engineering . 3+ years of experience . Experience in troubleshooting, Maintenan..."
Content Producer,Pearson,5-10 Yrs,"Ability to facilitate communication, build consensus among team members, and make decis..."
Associate Content Producer,Pearson,3-7 Yrs,Should be able to work well in a geographically dispersed team environmentBachelor s de...
PHP Front End Developer (preferred immediate joiners),Office Interactive India,3-5 Yrs,We are looking for a PHP Front-end developer with 3+ years of experience and enthusiasm...
SE TT Professional,Mondelez,2-3 Yrs,Ensure a maximum visual impact and an optimum shelf availability through merchandising ...
Cold Chain Executive,Mondelez,4-8 Yrs,"Experience in customer service, logistics or sales support ."
